StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-08T10:30:00Z,APXMIDP,08-09-2024,24,92.63,2027
2024-09-08T10:00:00Z,APXMIDP,08-09-2024,23,93.29,1679.45
2024-09-08T09:30:00Z,APXMIDP,08-09-2024,22,92.74,1648.45
2024-09-08T09:00:00Z,APXMIDP,08-09-2024,21,93.06,1592.4
2024-09-08T08:30:00Z,APXMIDP,08-09-2024,20,89.7,1556.65
2024-09-08T08:00:00Z,APXMIDP,08-09-2024,19,88.33,1614.15
2024-09-08T07:30:00Z,APXMIDP,08-09-2024,18,84.43,1969.3
2024-09-08T07:00:00Z,APXMIDP,08-09-2024,17,76.27,2188.5
2024-09-08T06:30:00Z,APXMIDP,08-09-2024,16,84.46,2168.25
2024-09-08T06:00:00Z,APXMIDP,08-09-2024,15,83.8,2264
2024-09-08T05:30:00Z,APXMIDP,08-09-2024,14,82.39,1739.75
2024-09-08T05:00:00Z,APXMIDP,08-09-2024,13,83.25,1690.6
2024-09-08T04:30:00Z,APXMIDP,08-09-2024,12,80.77,1826.6
2024-09-08T04:00:00Z,APXMIDP,08-09-2024,11,80.61,1667.2
2024-09-08T03:30:00Z,APXMIDP,08-09-2024,10,81.5,1763.3
2024-09-08T03:00:00Z,APXMIDP,08-09-2024,9,80.33,1729.5
2024-09-08T02:30:00Z,APXMIDP,08-09-2024,8,77.34,1659.7
2024-09-08T02:00:00Z,APXMIDP,08-09-2024,7,78.45,1624.65
2024-09-08T01:30:00Z,APXMIDP,08-09-2024,6,80.95,1576.75
2024-09-08T01:00:00Z,APXMIDP,08-09-2024,5,85.38,1749.8
2024-09-08T00:30:00Z,APXMIDP,08-09-2024,4,79.9,1522.25
2024-09-08T00:00:00Z,APXMIDP,08-09-2024,3,79.82,1520.6
2024-09-07T23:30:00Z,APXMIDP,08-09-2024,2,84.77,1425.9
2024-09-07T23:00:00Z,APXMIDP,08-09-2024,1,87.51,1675.3
2024-09-07T22:30:00Z,APXMIDP,07-09-2024,48,83.69,1546.75
2024-09-07T22:00:00Z,APXMIDP,07-09-2024,47,78.86,1490.05
2024-09-07T21:30:00Z,APXMIDP,07-09-2024,46,87.82,2389.55
2024-09-07T21:00:00Z,APXMIDP,07-09-2024,45,88.93,2277.7
2024-09-07T20:30:00Z,APXMIDP,07-09-2024,44,89.68,2537.35
2024-09-07T20:00:00Z,APXMIDP,07-09-2024,43,96.14,2582.8
2024-09-07T19:30:00Z,APXMIDP,07-09-2024,42,99.83,2471.8
2024-09-07T19:00:00Z,APXMIDP,07-09-2024,41,103.37,3156.75
2024-09-07T18:30:00Z,APXMIDP,07-09-2024,40,125.59,3161.55
2024-09-07T18:00:00Z,APXMIDP,07-09-2024,39,131.06,3147.15
2024-09-07T17:30:00Z,APXMIDP,07-09-2024,38,137.82,3315.7
2024-09-07T17:00:00Z,APXMIDP,07-09-2024,37,126.73,2580.4
2024-09-07T16:30:00Z,APXMIDP,07-09-2024,36,119.87,2299.25
2024-09-07T16:00:00Z,APXMIDP,07-09-2024,35,117.43,2175.2
