date,time,price,Buy time ,Buy price,Sell time,Sell price,Profit
08-09-2024,01:00-02:00,117.17,17:00 18:00,70.55,21:00-22:00,126.62,56.07
08-09-2024,02:00-03:00,103.7,,,,,
08-09-2024,03:00 04:00,98.2,,,,,
08-09-2024,04:00 05:00,92.81,,,,,
08-09-2024,05:00-06:00,88.06,,,,,
08-09-2024,06:00-07:00,81.45,,,,,
08-09-2024,07:00-08:00,83.43,,,,,
08-09-2024,08:00-09:00,80.9,,,,,
08-09-2024,09:00-10:00,85.45,,,,,
08-09-2024,10:00 11:00,98.14,,,,,
08-09-2024,11:00 12:00,112.42,,,,,
08-09-2024,12:00 13:00,116.86,,,,,
08-09-2024,13:00 14:00,115.75,,,,,
08-09-2024,14:00 15:00,104.84,,,,,
08-09-2024,15:00 - 16:00,90.43,,,,,
08-09-2024,16:00-17:00,86.04,,,,,
08-09-2024,17:00 18:00,70.55,,,,,
08-09-2024,18:00 19:00,93.33,,,,,
08-09-2024,19:00 20:00,106,,,,,
08-09-2024,20:00 21:00,122.82,,,,,
08-09-2024,21:00-22:00,126.62,,,,,
08-09-2024,22:00-23:00,112.56,,,,,
08-09-2024,23:00 - 00:00,98.75,,,,,
08-09-2024,0:00 - 01:00,93.6,,,,,
07-09-2024,01:00-02:00,111.59,05:00-06:00,86.28,20:00 21:00,131.85,45.57
07-09-2024,02:00-03:00,100.78,,,,,
07-09-2024,03:00 04:00,95.88,,,,,
07-09-2024,04:00 05:00,87.77,,,,,
07-09-2024,05:00-06:00,86.28,,,,,
07-09-2024,06:00-07:00,86.86,,,,,
07-09-2024,07:00-08:00,87.49,,,,,
07-09-2024,08:00-09:00,92.53,,,,,
07-09-2024,09:00-10:00,92.63,,,,,
07-09-2024,10:00 11:00,97.04,,,,,
07-09-2024,11:00 12:00,107.67,,,,,
07-09-2024,12:00 13:00,109.74,,,,,
07-09-2024,13:00 14:00,103.24,,,,,
07-09-2024,14:00 15:00,99.49,,,,,
07-09-2024,15:00 - 16:00,89.04,,,,,
07-09-2024,16:00-17:00,87.12,,,,,
07-09-2024,17:00 18:00,87.16,,,,,
07-09-2024,18:00 19:00,93.05,,,,,
07-09-2024,19:00 20:00,120.77,,,,,
07-09-2024,20:00 21:00,131.85,,,,,
07-09-2024,21:00-22:00,124.5,,,,,
07-09-2024,22:00-23:00,109.43,,,,,
07-09-2024,23:00 - 00:00,100.1,,,,,
07-09-2024,0:00 - 01:00,96.66,,,,,
06-09-2024,01:00-02:00,75.62,05:00-06:00,59.1,21:00-22:00,119.32,60.22
06-09-2024,02:00-03:00,68.52,,,,,
06-09-2024,03:00 04:00,64.36,,,,,
06-09-2024,04:00 05:00,63.66,,,,,
06-09-2024,05:00-06:00,59.1,,,,,
06-09-2024,06:00-07:00,62.88,,,,,
06-09-2024,07:00-08:00,74.8,,,,,
06-09-2024,08:00-09:00,101.11,,,,,
06-09-2024,09:00-10:00,108.94,,,,,
06-09-2024,10:00 11:00,97.11,,,,,
06-09-2024,11:00 12:00,96.27,,,,,
06-09-2024,12:00 13:00,90.05,,,,,
06-09-2024,13:00 14:00,89.07,,,,,
06-09-2024,14:00 15:00,92.14,,,,,
06-09-2024,15:00 - 16:00,92.31,,,,,
06-09-2024,16:00-17:00,87.66,,,,,
06-09-2024,17:00 18:00,81.87,,,,,
06-09-2024,18:00 19:00,91.35,,,,,
06-09-2024,19:00 20:00,100.79,,,,,
06-09-2024,20:00 21:00,113.64,,,,,
06-09-2024,21:00-22:00,119.32,,,,,
06-09-2024,22:00-23:00,114.25,,,,,
06-09-2024,23:00 - 00:00,106.46,,,,,
06-09-2024,0:00 - 01:00,94.5,,,,,
05-09-2024,01:00-02:00,102.37,17:00 18:00,72.41,21:00-22:00,118.21,45.8
05-09-2024,02:00-03:00,96.98,,,,,
05-09-2024,03:00 04:00,91.9,,,,,
05-09-2024,04:00 05:00,87.43,,,,,
05-09-2024,05:00-06:00,79.89,,,,,
05-09-2024,06:00-07:00,81.79,,,,,
05-09-2024,07:00-08:00,90.2,,,,,
05-09-2024,08:00-09:00,111.55,,,,,
05-09-2024,09:00-10:00,114.15,,,,,
05-09-2024,10:00 11:00,106.2,,,,,
05-09-2024,11:00 12:00,102.06,,,,,
05-09-2024,12:00 13:00,95.37,,,,,
05-09-2024,13:00 14:00,97.94,,,,,
05-09-2024,14:00 15:00,99.89,,,,,
05-09-2024,15:00 - 16:00,88.39,,,,,
05-09-2024,16:00-17:00,72.49,,,,,
05-09-2024,17:00 18:00,72.41,,,,,
05-09-2024,18:00 19:00,80.11,,,,,
05-09-2024,19:00 20:00,101.61,,,,,
05-09-2024,20:00 21:00,117.47,,,,,
05-09-2024,21:00-22:00,118.21,,,,,
05-09-2024,22:00-23:00,108.13,,,,,
05-09-2024,23:00 - 00:00,94.39,,,,,
05-09-2024,0:00 - 01:00,84.4,,,,,
04-09-2024,01:00-02:00,106.81,05:00-06:00,91.38,20:00 21:00,142.41,51.03
04-09-2024,02:00-03:00,101.04,,,,,
04-09-2024,03:00 04:00,96.17,,,,,
04-09-2024,04:00 05:00,93.27,,,,,
04-09-2024,05:00-06:00,91.38,,,,,
04-09-2024,06:00-07:00,93.29,,,,,
04-09-2024,07:00-08:00,106.3,,,,,
04-09-2024,08:00-09:00,117.03,,,,,
04-09-2024,09:00-10:00,134.05,,,,,
04-09-2024,10:00 11:00,124.96,,,,,
04-09-2024,11:00 12:00,113.43,,,,,
04-09-2024,12:00 13:00,104.04,,,,,
04-09-2024,13:00 14:00,98.49,,,,,
04-09-2024,14:00 15:00,92.82,,,,,
04-09-2024,15:00 - 16:00,94.28,,,,,
04-09-2024,16:00-17:00,96.97,,,,,
04-09-2024,17:00 18:00,101.36,,,,,
04-09-2024,18:00 19:00,110.36,,,,,
04-09-2024,19:00 20:00,130.42,,,,,
04-09-2024,20:00 21:00,142.41,,,,,
04-09-2024,21:00-22:00,136.25,,,,,
04-09-2024,22:00-23:00,129.18,,,,,
04-09-2024,23:00 - 00:00,111.19,,,,,
04-09-2024,0:00 - 01:00,103.87,,,,,
03-09-2024,01:00-02:00,99.33,15:00 - 16:00,89.69,21:00-22:00,148.25,58.56
03-09-2024,02:00-03:00,91.4,,,,,
03-09-2024,03:00 04:00,91.39,,,,,
03-09-2024,04:00 05:00,92.7,,,,,
03-09-2024,05:00-06:00,91.41,,,,,
03-09-2024,06:00-07:00,98.98,,,,,
03-09-2024,07:00-08:00,112.22,,,,,
03-09-2024,08:00-09:00,130.4,,,,,
03-09-2024,09:00-10:00,139.22,,,,,
03-09-2024,10:00 11:00,125.25,,,,,
03-09-2024,11:00 12:00,115.71,,,,,
03-09-2024,12:00 13:00,105.04,,,,,
03-09-2024,13:00 14:00,95.27,,,,,
03-09-2024,14:00 15:00,91.45,,,,,
03-09-2024,15:00 - 16:00,89.69,,,,,
03-09-2024,16:00-17:00,94.74,,,,,
03-09-2024,17:00 18:00,96.21,,,,,
03-09-2024,18:00 19:00,109.56,,,,,
03-09-2024,19:00 20:00,130.84,,,,,
03-09-2024,20:00 21:00,147.39,,,,,
03-09-2024,21:00-22:00,148.25,,,,,
03-09-2024,22:00-23:00,147.41,,,,,
03-09-2024,23:00 - 00:00,128.07,,,,,
03-09-2024,0:00 - 01:00,108.19,,,,,
02-09-2024,01:00-02:00,94.24,15:00 - 16:00,88.77,20:00 21:00,141.36,52.59
02-09-2024,02:00-03:00,96.15,,,,,
02-09-2024,03:00 04:00,94.09,,,,,
02-09-2024,04:00 05:00,91.35,,,,,
